prediction_id,model_prediction,true_outcome,feedback_timestamp,reviewer,correct
PRED_0000,0,0,2026-01-16 16:03:24.042013,Dr. Revisor 1,True
PRED_0001,1,0,2026-01-16 16:03:24.042063,Dr. Revisor 2,False
PRED_0002,1,0,2026-01-16 16:03:24.042075,Dr. Revisor 3,False
PRED_0003,0,1,2026-01-16 16:03:24.042082,Dr. Revisor 4,False
PRED_0004,0,0,2026-01-16 16:03:24.042089,Dr. Revisor 5,True
PRED_0005,1,1,2026-01-16 16:03:24.042095,Dr. Revisor 1,True
PRED_0006,0,0,2026-01-16 16:03:24.042101,Dr. Revisor 2,True
PRED_0007,0,0,2026-01-16 16:03:24.042107,Dr. Revisor 3,True
PRED_0008,1,0,2026-01-16 16:03:24.042113,Dr. Revisor 4,False
PRED_0009,1,1,2026-01-16 16:03:24.042118,Dr. Revisor 5,True
PRED_0010,0,0,2026-01-16 16:03:24.042123,Dr. Revisor 1,True
PRED_0011,0,1,2026-01-16 16:03:24.042130,Dr. Revisor 2,False
PRED_0012,1,1,2026-01-16 16:03:24.042135,Dr. Revisor 3,True
PRED_0013,0,0,2026-01-16 16:03:24.042140,Dr. Revisor 4,True
PRED_0014,1,1,2026-01-16 16:03:24.042145,Dr. Revisor 5,True
PRED_0015,0,0,2026-01-16 16:03:24.042151,Dr. Revisor 1,True
PRED_0016,0,0,2026-01-16 16:03:24.042156,Dr. Revisor 2,True
PRED_0017,1,0,2026-01-16 16:03:24.042161,Dr. Revisor 3,False
PRED_0018,0,0,2026-01-16 16:03:24.042166,Dr. Revisor 4,True
PRED_0019,0,1,2026-01-16 16:03:24.042171,Dr. Revisor 5,False
PRED_0020,0,0,2026-01-16 16:03:24.042175,Dr. Revisor 1,True
PRED_0021,1,1,2026-01-16 16:03:24.042180,Dr. Revisor 2,True
PRED_0022,0,1,2026-01-16 16:03:24.042186,Dr. Revisor 3,False
PRED_0023,0,0,2026-01-16 16:03:24.042191,Dr. Revisor 4,True
PRED_0024,0,1,2026-01-16 16:03:24.042197,Dr. Revisor 5,False
PRED_0025,0,0,2026-01-16 16:03:24.042202,Dr. Revisor 1,True
PRED_0026,1,1,2026-01-16 16:03:24.042207,Dr. Revisor 2,True
PRED_0027,1,1,2026-01-16 16:03:24.042212,Dr. Revisor 3,True
PRED_0028,1,1,2026-01-16 16:03:24.042217,Dr. Revisor 4,True
PRED_0029,0,1,2026-01-16 16:03:24.042222,Dr. Revisor 5,False
PRED_0030,0,0,2026-01-16 16:03:24.042227,Dr. Revisor 1,True
PRED_0031,1,1,2026-01-16 16:03:24.042232,Dr. Revisor 2,True
PRED_0032,0,0,2026-01-16 16:03:24.042237,Dr. Revisor 3,True
PRED_0033,1,1,2026-01-16 16:03:24.042242,Dr. Revisor 4,True
PRED_0034,1,1,2026-01-16 16:03:24.042246,Dr. Revisor 5,True
PRED_0035,1,0,2026-01-16 16:03:24.042251,Dr. Revisor 1,False
PRED_0036,1,0,2026-01-16 16:03:24.042256,Dr. Revisor 2,False
PRED_0037,1,1,2026-01-16 16:03:24.042261,Dr. Revisor 3,True
PRED_0038,1,1,2026-01-16 16:03:24.042265,Dr. Revisor 4,True
PRED_0039,0,1,2026-01-16 16:03:24.042270,Dr. Revisor 5,False
PRED_0040,1,1,2026-01-16 16:03:24.042275,Dr. Revisor 1,True
PRED_0041,0,1,2026-01-16 16:03:24.042280,Dr. Revisor 2,False
PRED_0042,0,0,2026-01-16 16:03:24.042284,Dr. Revisor 3,True
PRED_0043,0,1,2026-01-16 16:03:24.042289,Dr. Revisor 4,False
PRED_0044,0,0,2026-01-16 16:03:24.042294,Dr. Revisor 5,True
PRED_0045,0,0,2026-01-16 16:03:24.042299,Dr. Revisor 1,True
PRED_0046,0,0,2026-01-16 16:03:24.042304,Dr. Revisor 2,True
PRED_0047,0,0,2026-01-16 16:03:24.042308,Dr. Revisor 3,True
PRED_0048,1,1,2026-01-16 16:03:24.042313,Dr. Revisor 4,True
PRED_0049,0,0,2026-01-16 16:03:24.042318,Dr. Revisor 5,True
PRED_0050,1,0,2026-01-16 16:03:24.042323,Dr. Revisor 1,False
PRED_0051,1,1,2026-01-16 16:03:24.042328,Dr. Revisor 2,True
PRED_0052,0,0,2026-01-16 16:03:24.042333,Dr. Revisor 3,True
PRED_0053,1,1,2026-01-16 16:03:24.042337,Dr. Revisor 4,True
PRED_0054,0,0,2026-01-16 16:03:24.042342,Dr. Revisor 5,True
PRED_0055,1,0,2026-01-16 16:03:24.042350,Dr. Revisor 1,False
PRED_0056,0,0,2026-01-16 16:03:24.042355,Dr. Revisor 2,True
PRED_0057,0,0,2026-01-16 16:03:24.042360,Dr. Revisor 3,True
PRED_0058,0,0,2026-01-16 16:03:24.042365,Dr. Revisor 4,True
PRED_0059,0,1,2026-01-16 16:03:24.042369,Dr. Revisor 5,False
PRED_0060,1,0,2026-01-16 16:03:24.042374,Dr. Revisor 1,False
PRED_0061,0,0,2026-01-16 16:03:24.042379,Dr. Revisor 2,True
PRED_0062,0,0,2026-01-16 16:03:24.042383,Dr. Revisor 3,True
PRED_0063,0,0,2026-01-16 16:03:24.042388,Dr. Revisor 4,True
PRED_0064,0,0,2026-01-16 16:03:24.042393,Dr. Revisor 5,True
PRED_0065,0,1,2026-01-16 16:03:24.042398,Dr. Revisor 1,False
PRED_0066,1,0,2026-01-16 16:03:24.042403,Dr. Revisor 2,False
PRED_0067,1,1,2026-01-16 16:03:24.042407,Dr. Revisor 3,True
PRED_0068,0,0,2026-01-16 16:03:24.042412,Dr. Revisor 4,True
PRED_0069,1,0,2026-01-16 16:03:24.042417,Dr. Revisor 5,False
PRED_0070,1,0,2026-01-16 16:03:24.042421,Dr. Revisor 1,False
PRED_0071,0,0,2026-01-16 16:03:24.042426,Dr. Revisor 2,True
PRED_0072,1,1,2026-01-16 16:03:24.042431,Dr. Revisor 3,True
PRED_0073,1,1,2026-01-16 16:03:24.042435,Dr. Revisor 4,True
PRED_0074,1,0,2026-01-16 16:03:24.042440,Dr. Revisor 5,False
PRED_0075,1,1,2026-01-16 16:03:24.042445,Dr. Revisor 1,True
PRED_0076,1,1,2026-01-16 16:03:24.042450,Dr. Revisor 2,True
PRED_0077,1,1,2026-01-16 16:03:24.042455,Dr. Revisor 3,True
PRED_0078,1,0,2026-01-16 16:03:24.042459,Dr. Revisor 4,False
PRED_0079,1,1,2026-01-16 16:03:24.042464,Dr. Revisor 5,True
PRED_0080,0,0,2026-01-16 16:03:24.042469,Dr. Revisor 1,True
PRED_0081,0,0,2026-01-16 16:03:24.042473,Dr. Revisor 2,True
PRED_0082,1,1,2026-01-16 16:03:24.042478,Dr. Revisor 3,True
PRED_0083,0,0,2026-01-16 16:03:24.042483,Dr. Revisor 4,True
PRED_0084,0,0,2026-01-16 16:03:24.042487,Dr. Revisor 5,True
PRED_0085,0,0,2026-01-16 16:03:24.042492,Dr. Revisor 1,True
PRED_0086,0,0,2026-01-16 16:03:24.042497,Dr. Revisor 2,True
PRED_0087,0,0,2026-01-16 16:03:24.042501,Dr. Revisor 3,True
PRED_0088,1,1,2026-01-16 16:03:24.042506,Dr. Revisor 4,True
PRED_0089,1,1,2026-01-16 16:03:24.042510,Dr. Revisor 5,True
PRED_0090,1,0,2026-01-16 16:03:24.042515,Dr. Revisor 1,False
PRED_0091,0,0,2026-01-16 16:03:24.042520,Dr. Revisor 2,True
PRED_0092,1,0,2026-01-16 16:03:24.042525,Dr. Revisor 3,False
PRED_0093,0,0,2026-01-16 16:03:24.042530,Dr. Revisor 4,True
PRED_0094,1,0,2026-01-16 16:03:24.042534,Dr. Revisor 5,False
PRED_0095,0,1,2026-01-16 16:03:24.042539,Dr. Revisor 1,False
PRED_0096,0,0,2026-01-16 16:03:24.042544,Dr. Revisor 2,True
PRED_0097,1,1,2026-01-16 16:03:24.042548,Dr. Revisor 3,True
PRED_0098,0,0,2026-01-16 16:03:24.042553,Dr. Revisor 4,True
PRED_0099,1,0,2026-01-16 16:03:24.042557,Dr. Revisor 5,False
